Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Oxidative Phosphorylation,0.4783267636144919,2.2251529507036487,0.0,0.0,0.0,76/175,23.07%,ATP5F1B;UQCRFS1;ATP5F1A;ATP6V0B;ECI1;VDAC3;VDAC2;RHOT2;LDHB;TIMM13;HTRA2;ACAA1;MDH2;MRPL34;ACADVL;ATP5MC3;MRPL15;NDUFS8;ECHS1;ECH1;ACAA2;ETFB;NDUFA6;SLC25A5;NDUFV1;COX4I1;UQCR10;NDUFS7;ATP6AP1;UQCRC2;ATP5F1E;MRPS22;BAX;UQCRB;NDUFB4;IDH2;TIMM8B;NDUFB5;IDH3G;NDUFS6;CPT1A;ATP1B1;LDHA;MDH1;NDUFA8;UQCRQ;POR;PDHA1;GPX4;ACAT1;ACO2;ATP5PB;NDUFS2;COX5A;ATP5F1D;OXA1L;NDUFA4;CS;HADHB;COX7B;PHYH;ATP5PF;MRPL35;SLC25A3;DLAT;RETSAT;MGST3;SLC25A11;UQCRC1;CYCS;NDUFB2;COX17;COX6B1;TIMM17A;PMPCA;NDUFAB1
prerank,UV Response Up,0.4792215191505414,2.12737555949554,0.0,0.0,0.0,46/106,26.59%,FKBP4;TUBA4A;CLTB;DNAJB1;DNAJA1;CDKN1C;TYRO3;CDC34;ENO2;ACAA1;RFC4;STIP1;CREG1;RXRB;BSG;AP2S1;PDAP1;BCL2L11;DGAT1;UROD;SLC6A8;SELENOW;PRKACA;POLR2H;ATF3;EPHX1;FURIN;TGFBRAP1;ASNS;STK25;DDX21;CNP;CEBPG;GRINA;COL2A1;TAP1;RPN1;HLA-F;EIF2S3;FOS;TST;MGAT1;ATP6V1F;SQSTM1;SLC25A4;SLC6A12
prerank,Myc Targets V1,0.4471159736877104,2.094132702123757,0.0,0.0,0.0,64/174,19.45%,HSP90AB1;TYMS;CCT3;CCT4;RPS3;NOP56;VDAC3;CBX3;CCT2;EIF4H;HDDC2;MRPL9;C1QBP;HSPD1;RFC4;RPL14;RACK1;EIF3D;PTGES3;CCT7;EEF1B2;PSMD8;EIF4A1;U2AF1;TCP1;PPIA;APEX1;RPL18;LSM7;RANBP1;PSMA4;TRIM28;USP1;RPLP0;RAN;HPRT1;POLD2;NHP2;MCM7;VBP1;TXNL4A;PPM1G;PSMD3;SRSF3;RNPS1;LDHA;TUFM;PHB;FBL;DDX21;GNL3;XPO1;MRPS18B;IFRD1;PCNA;EIF3B;PSMB3;COX5A;AP3S1;CCT5;RPL6;PSMC4;SLC25A3;SF3A1
prerank,Reactive Oxygen Species Pathway,0.5664151215336338,2.0421118707533967,0.0,0.0,0.0,21/38,27.54%,PRDX1;GLRX;G6PD;SOD1;NDUFA6;ERCC2;FTL;NDUFB4;TXNRD1;STK25;GPX4;NDUFS2;CDKN2D;ATOX1;SELENOS;GLRX2;LAMTOR5;SBNO2;MSRA;ABCC1;PTPA
prerank,p53 Pathway,0.4410177406855195,2.015708369100144,0.0,0.0002537823328452904,0.001,67/138,30.69%,DDIT3;PMM1;CTSF;LIF;CYFIP2;RNF19B;MXD4;DCXR;LDHB;NUPR1;S100A10;CD81;HINT1;RACK1;SLC3A2;RGS16;RPL18;PLXNB2;JUN;RALGDS;ZMAT3;CDKN1A;HSPA4L;WRAP73;BAX;ATF3;EPHX1;PTPN14;PIDD1;RPS27L;HRAS;TSPYL2;MKNK2;TPD52L1;PCNA;FUCA1;CCNK;TPRKB;TCN2;IRAK1;TOB1;TAP1;RETSAT;ABCC5;PRMT2;TP53;NINJ1;CCNG1;FOS;PHLDA3;ITGB4;TGFA;NDRG1;SEC61A1;RAD51C;DDIT4;RRP8;RPS12;EPHA2;ELP1;PITPNC1;RAB40C;EPS8L2;FAM162A;PERP;RPL36;SPHK1
prerank,Fatty Acid Metabolism,0.4334148288122162,1.9008728884468735,0.0,0.001480396941597527,0.007,38/112,18.92%,HSP90AA1;HSPH1;ECI1;TP53INP2;PCBD1;ENO2;ACAA1;S100A10;MDH2;ACADVL;GRHPR;ECHS1;ECH1;ACOT8;ACAA2;LGALS1;APEX1;ACAT2;GCDH;UROD;ERP29;ACSS1;EPHX1;GAD2;IDH3G;CPT1A;LDHA;MDH1;PDHA1;PSME1;CBR1;ACO2;REEP6;FASN;GSTZ1;HADHB;ALDH9A1;HMGCL
prerank,Adipogenesis,0.38341115515218427,1.7555014472852644,0.0,0.007432196890469218,0.039,62/153,23.07%,SOD1;UBC;PTCD3;MDH2;CHCHD10;SLC19A1;MRPL15;HSPB8;ECHS1;ECH1;ABCB8;ACAA2;ETFB;PHLDB1;DGAT1;TKT;UQCR10;VEGFB;UCK1;IDH3G;DRAM2;PFKL;DHRS7;TALDO1;DNAJB9;COQ9;MYLK;SNCG;RAB34;SAMM50;ALDH2;PIM3;UQCRQ;POR;MIGA2;APLP2;G3BP2;SPARCL1;GPX4;ACO2;AGPAT3;CD151;GHITM;REEP5;PGM1;REEP6;PDCD4;RIOK3;CS;COX7B;PHYH;DLAT;TOB1;RETSAT;MGST3;APOE;CPT2;UQCRC1;NKIRAS1;SORBS1;GPAM;NDUFAB1
prerank,mTORC1 Signaling,0.3691551976950708,1.708779216520892,0.0,0.010151293313811616,0.059,47/161,17.07%,DDIT3;TUBA4A;PRDX1;GLRX;CACYBP;HSPA5;G6PD;HSPA4;PHGDH;HSP90B1;NUPR1;GLA;HSPD1;GOT1;CALR;STIP1;GGA2;PDAP1;PPIA;PSMA4;SERPINH1;CTH;CDKN1A;PSMB5;HPRT1;GAPDH;TPI1;SLC1A4;DHFR;PFKL;VLDLR;FADS1;DDX39A;PPA1;TXNRD1;LDHA;FKBP2;ASNS;UBE2D3;SLC6A6;MLLT11;UNG;IFRD1;SLC2A1;SHMT2;PGM1;SLC37A4
prerank,Xenobiotic Metabolism,0.36197024150550405,1.6271886762783756,0.001597444089456869,0.02030258662762323,0.13,52/127,28.68%,HSD17B2;BCAR1;PMM1;CYFIP2;DCXR;PTGDS;BLVRB;PTGES3;LCAT;PGD;ECH1;CES1;DHPS;HPRT1;PINK1;EPHX1;DDAH2;DHRS7;LONP1;ALDH2;POR;ABCC3;TNFRSF1A;CBR1;SLC6A6;ACO2;SHMT2;RAP1GAP;ARG2;ALDH9A1;LPIN2;MT2A;ACP2;RETSAT;GSTM4;SLC35B1;APOE;HGFAC;CASP6;TMEM176B;NINJ1;PTGR1;CYB5A;SLC6A12;DDT;AKR1C2;AP4B1;PPARD;NDRG2;EPHA2;PTS;CSAD
prerank,Myogenesis,0.3599619499462706,1.5699124060926315,0.006134969325153374,0.030707662274280137,0.208,43/111,23.24%,PTP4A3;BIN1;FXYD1;ATP2A1;PDLIM7;CRYAB;GABARAPL2;FABP3;CKB;GAA;HSPB8;PFKM;PICK1;PLXNB2;MYL6B;SLC6A8;CDKN1A;MYO1C;ATP6AP1;PPP1R3C;GSN;EIF4A2;MYLK;FLII;LPIN1;KIFC3;DMD;SLN;TPD52L1;IFRD1;SH2B1;CLU;SPTAN1;HDAC5;SH3BGR;SPARC;AGRN;BAG1;MAPRE3;SORBS1;GADD45B;MRAS;ITGB4
