,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FHIT,644.476226962171,-0.8134733413729458,0.1894777456412446,-4.293239496912576,1.7608488721514123e-05,0.047787059844280125
ALDH1A2,737.2746424018549,-0.8579900294433863,0.18945631255130918,-4.528695918807259,5.934883635205762e-06,0.047787059844280125
PRKCH,172.91726114240635,-1.1471646525762136,0.2617639379379162,-4.382439619502867,1.173576970408422e-05,0.047787059844280125
LINGO2,168.0875424050303,-1.514032138721962,0.35024646695693706,-4.322762059176211,1.540878886012439e-05,0.047787059844280125
FBN2,232.02607664005032,-2.1686301170699793,0.5083106525268967,-4.266347963178341,1.9869879353131028e-05,0.047787059844280125
CEP128,159.27416593990165,-1.4205762602922898,0.34870510102854846,-4.073861426466449,4.6240001185517475e-05,0.09267266904264128
PDE3A,182.38063311743755,-2.0786953125131227,0.536659986560007,-3.873393516512325,0.00010733031330903592,0.1843781453630224
GPR158,805.4171392727193,-0.9029907456217946,0.2391140013948114,-3.776402637881618,0.00015910971319291992,0.21258825568276243
HSPA1A,209.28311152556458,6.325697153336211,1.6678397590135807,3.792748745285609,0.00014898888544439146,0.21258825568276243
AC079447.1,87.30584253538264,-1.0236209955182083,0.27632285251015537,-3.7044384357627034,0.00021185955228327774,0.23160101056421953
COL19A1,43.32519562151612,-1.5229062462483811,0.41093655324546524,-3.7059400878818916,0.00021060808423091647,0.23160101056421953
KIAA1614,10.655156214276282,2.013134944844071,0.5597267030416926,3.5966390988748627,0.00032235523953194617,0.32302681294763774
LINC00299,118.46100190555254,-1.2418347209880258,0.34960123030556256,-3.552146312250168,0.00038210232790762287,0.35344465331455116
HAPLN3,10.879889438150661,1.8696226471240605,0.5420359680041615,3.449259380347442,0.0005621264630591558,0.45063804788575657
RCVRN,63.82564782146084,2.341443429561231,0.6751946045517877,3.4678053020218433,0.0005247273143678437,0.45063804788575657
AC099792.1,323.9520612947616,-0.9212483050647986,0.270399023241946,-3.406995683710328,0.0006568216570032684,0.4936425265915189
SEMA7A,5.559233461505928,2.3016329161758056,0.6836767772807005,3.3665512602760423,0.0007611443457047788,0.5383976915941155
TUBB4B,34.8415506397076,1.7403048709567186,0.5267791595664809,3.3036706926464645,0.0009542785548677695,0.6052742845934691
HSP90AA1,693.5915372754077,2.6458113477815477,0.8045282364796693,3.288649456678713,0.0010066931968290547,0.6052742845934691
SPSB3,32.933308512758714,1.650785540172079,0.5000487106054446,3.301249468623477,0.0009625525564634713,0.6052742845934691
LINC01344,37.4764368018496,-1.279114739985441,0.39088021532309836,-3.2723957106095414,0.0010664020662714737,0.6106421355673557
FRMD5,1306.1507794859065,-0.6275998735847832,0.19266196119123072,-3.2575183482215544,0.0011239099222256454,0.6143189461256086
LINC00298,56.41779083832843,-1.4031771798592585,0.4345434014806165,-3.229084080159136,0.0012418737724227843,0.6426095416015427
SLC27A6,116.92959882353732,-1.4225878014389206,0.4418171223321226,-3.219856654558384,0.001282547110057133,0.6426095416015427
RDH12,13.401619665555618,1.973356322902875,0.6236124939723973,3.164395104294079,0.0015540566939446492,0.6519811852249188
PPEF2,118.65585213937665,2.0292372161673575,0.6360025608365562,3.1906117068117332,0.0014197194536642564,0.6519811852249188
FTO,501.68056728841174,-0.5632027790381067,0.1765622497343124,-3.1898255707865286,0.0014235868876700153,0.6519811852249188
