,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARHGAP33,12.699903280817162,1.5149494836183863,0.43914632876535203,3.449760101325737,0.0005610849244502188,0.7457221819073776
HSPA1A,209.28311152556458,5.174269477301951,1.5142528526860823,3.4170445630156734,0.000633049163986745,0.7457221819073776
AC004231.1,12.717935918796035,2.290901473964348,0.5789001145403253,3.9573346358437576,7.579072058756926e-05,0.7457221819073776
RGS11,6.001392415178866,3.5865734188788574,0.9941937179882067,3.6075196955945783,0.00030913807816133014,0.7457221819073776
SLC22A17,24.766520347185654,1.9954161989917338,0.5953091183022947,3.351899269882294,0.0008025921503555559,0.7457221819073776
ZNF213,15.623751753352899,1.7304772825511274,0.5006456957784732,3.4564908819606286,0.0005472577219626859,0.7457221819073776
KMT2E-AS1,6.824065516933641,3.006826804177252,0.8371160341367803,3.5918877211303695,0.00032829129609637326,0.7457221819073776
SMIM37,4.594196524943035,4.389308838382556,1.2879614745271226,3.4079504124873754,0.0006545278794142862,0.7457221819073776
UTY,73.98339024174895,-9.07097915597642,2.7202788237958253,-3.3345769840309782,0.0008542924950111179,0.7457221819073776
CCDC137,5.694296352409081,2.1097437039645155,0.6242959678785851,3.379396652414107,0.0007264511433053208,0.7457221819073776
ZNF324,6.096424074865293,2.1387033760832055,0.6422372251069722,3.3300831725021527,0.0008682004612643066,0.7457221819073776
CXXC1,11.351338936572747,1.9554544931236262,0.5546364269557122,3.525651035682461,0.0004224432150720039,0.7457221819073776
DCUN1D1,58.94297160780549,-0.7767887865137095,0.213597240387736,-3.6366986067031135,0.0002761547345541123,0.7457221819073776
ZBTB20-AS1,6.193040623914656,3.343819365237759,0.9303319753111654,3.594221690724283,0.00032536272074654913,0.7457221819073776
OXTR,5.843910473118518,-1.9499905733321734,0.5914247608622554,-3.297106753679412,0.0009768636390992769,0.7831190173445869
GPR137,9.502456088602628,2.018324635100304,0.617760370611783,3.2671643101701533,0.0010863061183315065,0.7854792235657525
AL139423.1,6.393533520100319,3.013392533109893,0.9319773840284065,3.2333322511375937,0.0012235517004328008,0.7854792235657525
CCNYL1,36.86482272101772,1.0781223277920498,0.3325298230161358,3.2421823643160406,0.0011861809273770096,0.7854792235657525
SH3GLB2,12.340934684527424,2.143861942412247,0.6638854881232074,3.2292646559769027,0.001241089833492665,0.7854792235657525
FXYD1,4.43141640376824,2.4597671572549977,0.9034364046032763,2.722678812500531,0.006475497960482691,0.7933186971380203
ARFGAP2,23.64647740939412,0.9390406305164124,0.3486420136900531,2.6934236082953293,0.007072235012354285,0.7933186971380203
FLVCR1,23.03086182903181,-0.9701341036304165,0.34357157940504307,-2.8236739060616736,0.004747666170577713,0.7933186971380203
FLYWCH1,28.785142726279343,0.962543813078687,0.31024868531997885,3.102491190529802,0.0019189925936389006,0.7933186971380203
ZDHHC20,68.02913578447297,-0.6016484659545668,0.21788137549668352,-2.7613579388465204,0.005756155238905402,0.7933186971380203
RGL2,15.133962472116737,1.2317025521146527,0.4630560519677825,2.659942671908647,0.007815395278330726,0.7933186971380203
RPS19BP1,7.831324917279682,2.073613854603572,0.7920940540677527,2.6178884236722255,0.008847572955344838,0.7933186971380203
GALE,5.768762904967286,1.9248142142674307,0.6438667306939609,2.989460586343484,0.002794705007747498,0.7933186971380203
ZBED5,60.18536930738218,-0.9262552316609595,0.3321453205516415,-2.788704745629396,0.005291928543156809,0.7933186971380203
RPL29,14.806793454902527,2.0106646974164994,0.7499368764845463,2.6811119181681318,0.007337797037748526,0.7933186971380203
ROBO3,22.404944072461763,1.1300663855485045,0.421770831537296,2.679337453065613,0.00737680093543172,0.7933186971380203
BANF1,7.299506916822181,2.8675951403922117,1.0387122986337163,2.7607212739890925,0.005767387412423886,0.7933186971380203
H2AFZ,11.035993072925276,1.9753124911598998,0.6837807154671907,2.88880988667584,0.0038670279167194476,0.7933186971380203
HSF1,20.101099913246685,1.076674521053293,0.41056407185335086,2.622427520735107,0.008730583574429344,0.7933186971380203
XRN1,216.03065952374982,-0.6890523649281969,0.22458495904821008,-3.0681144803659044,0.0021541407707199333,0.7933186971380203
FKBP10,32.08022841797234,1.3881980222056736,0.4349880238357259,3.191347683470774,0.0014161075623238476,0.7933186971380203
RCVRN,63.82564782146084,1.7292359240866453,0.6164795930904108,2.8050173006019383,0.005031387909750225,0.7933186971380203
FBXO44,10.364182903399202,1.5685253919830604,0.5695206721908366,2.754114940111383,0.005885109598475206,0.7933186971380203
BAG6,15.655862363257102,1.4169117695841118,0.5074541431781474,2.7921966716245517,0.005235152569297563,0.7933186971380203
NUDT14,4.47698696295504,3.685368468863769,1.2548318260073128,2.9369421403584104,0.003314659406169916,0.7933186971380203
